Task ID,Task_Summary_Name,Start_Date,Finish_Date,Duration,Predecessors
1.8,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 December 28 8:00 AM,2024 October 16 12:00 PM,478 days,
1.8.1,Civil Works,2022 December 28 8:00 AM,2023 October 13 12:00 PM,209 days,
1.8.1.1,Utility Relocation & Tree Removal,2023 March 23 1:00 PM,2023 October 13 12:00 PM,144 days,
1.8.1.1.1,Water Lines,2023 March 23 1:00 PM,2023 March 28 5:00 PM,4 days,2FS+120d
1.8.1.1.2,Water Lines,2023 March 29 8:00 AM,2023 March 30 5:00 PM,2 days,78
1.8.1.1.3,Water Lines,2023 March 31 8:00 AM,2023 April 06 12:00 PM,4 days,79
1.8.1.1.4,Water Lines,2023 April 06 1:00 PM,2023 April 25 12:00 PM,5 days,80
1.8.1.1.5,Water Lines,2023 April 25 1:00 PM,2023 May 04 5:00 PM,7 days,81
1.8.1.1.6,Water Lines,2023 May 08 8:00 AM,2023 May 12 5:00 PM,5 days,82
1.8.1.1.7,Water Lines,2023 July 27 8:00 AM,2023 October 13 12:00 PM,60 days,"157FS-50d,83"
1.8.1.2,Utility Relocation & Tree Removal,2022 December 28 8:00 AM,2023 October 10 12:00 PM,206 days,
1.8.1.2.1,CEB Poles,2022 December 28 8:00 AM,2023 January 02 12:00 PM,4 days,34
1.8.1.2.2,CEB Poles,2023 January 02 1:00 PM,2023 January 20 12:00 PM,14 days,86
1.8.1.2.3,CEB Poles,2023 January 20 1:00 PM,2023 January 25 5:00 PM,4 days,87
1.8.1.2.4,CEB Poles,2023 January 26 8:00 AM,2023 February 13 5:00 PM,14 days,88
1.8.1.2.5,CEB Poles,2023 February 14 8:00 AM,2023 March 22 12:00 PM,28 days,89
1.8.1.2.6,CEB Poles,2023 March 22 1:00 PM,2023 April 21 5:00 PM,14 days,90
1.8.1.2.7,CEB Poles,2023 June 14 8:00 AM,2023 October 10 12:00 PM,90 days,"91,157SS+7d"
1.8.1.3,Utility Relocation & Tree Removal,2023 January 02 8:00 AM,2023 October 12 5:00 PM,205 days,
1.8.1.3.1,SLT Poles,2023 January 02 1:00 PM,2023 January 07 12:00 PM,4 days,86
1.8.1.3.2,SLT Poles,2023 January 09 8:00 AM,2023 January 10 5:00 PM,2 days,94
1.8.1.3.3,SLT Poles,2023 January 11 8:00 AM,2023 January 16 12:00 PM,4 days,95
1.8.1.3.4,SLT Poles,2023 January 16 1:00 PM,2023 January 21 12:00 PM,5 days,96
1.8.1.3.5,SLT Poles,2023 January 23 8:00 AM,2023 January 31 12:00 PM,7 days,97
1.8.1.3.6,SLT Poles,2023 January 31 1:00 PM,2023 February 07 12:00 PM,5 days,98
1.8.1.3.7,SLT Poles,2023 July 27 8:00 AM,2023 October 13 12:00 PM,60 days,"99,157FS-50d"
1.8.2,Civil Works,2023 March 28 5:00 PM,2023 March 28 5:00 PM,0 days,"60,23,20,19,18,17,16,15,12,10,9,8"
1.8.3,Civil Works,2023 May 04 8:00 AM,2024 September 04 12:00 PM,360 days,
1.8.3.1,Culvert Construction,2023 May 04 8:00 AM,2024 June 17 12:00 PM,300 days,68SS+7d
1.8.3.2,Culvert Construction,2023 May 18 1:00 PM,2024 September 04 12:00 PM,350 days,103FS-290d
1.8.4,Civil Works,2023 May 27 8:00 AM,2024 July 27 12:00 PM,314 days,
1.8.4.1,Bridge Construction,2023 May 27 8:00 AM,2024 March 12 12:00 PM,220 days,70
1.8.4.1.1,Bridge No.115/4-Reconstruction (Cell Type),2023 May 27 8:00 AM,2023 June 02 12:00 PM,5 days,70
1.8.4.1.2,Bridge No.115/4-Reconstruction (Cell Type),2023 June 02 1:00 PM,2023 June 15 5:00 PM,10 days,107
1.8.4.1.3,Bridge No.115/4-Reconstruction (Cell Type),2023 June 16 8:00 AM,2023 July 06 12:00 PM,15 days,108
1.8.4.1.4,Bridge No.115/4-Reconstruction (Cell Type),2023 July 06 1:00 PM,2023 August 02 12:00 PM,20 days,109
1.8.4.1.5,Bridge No.115/4-Reconstruction (Cell Type),2023 August 02 1:00 PM,2023 September 08 5:00 PM,30 days,110
1.8.4.1.6,Bridge No.115/4-Reconstruction (Cell Type),2023 September 09 8:00 AM,2023 September 21 5:00 PM,10 days,111
1.8.4.1.7,Bridge No.115/4-Reconstruction (Cell Type),2023 September 22 8:00 AM,2023 September 29 12:00 PM,5 days,"112,110FS+28d"
1.8.4.1.8,Bridge No.115/4-Reconstruction (Cell Type),2023 September 29 1:00 PM,2023 October 12 12:00 PM,10 days,113
1.8.4.1.9,Bridge No.115/4-Reconstruction (Cell Type),2023 October 12 1:00 PM,2023 November 01 12:00 PM,15 days,114
1.8.4.1.10,Bridge No.115/4-Reconstruction (Cell Type),2023 November 01 1:00 PM,2023 November 27 12:00 PM,20 days,115
1.8.4.1.11,Bridge No.115/4-Reconstruction (Cell Type),2023 November 27 1:00 PM,2024 January 05 5:00 PM,30 days,116
1.8.4.1.12,Bridge No.115/4-Reconstruction (Cell Type),2024 January 06 8:00 AM,2024 January 18 5:00 PM,10 days,117
1.8.4.1.13,Bridge No.115/4-Reconstruction (Cell Type),2024 January 19 8:00 AM,2024 March 12 12:00 PM,40 days,118
1.8.4.2,Bridge Construction,2023 July 06 1:00 PM,2024 July 27 12:00 PM,284 days,"106FS-190d,71"
1.8.4.2.1,Bridge No.116/5-Reconstruction (Abutment Type),2023 July 06 1:00 PM,2023 July 12 5:00 PM,5 days,71
1.8.4.2.2,Bridge No.116/5-Reconstruction (Abutment Type),2023 July 13 8:00 AM,2023 August 02 12:00 PM,15 days,121
1.8.4.2.3,Bridge No.116/5-Reconstruction (Abutment Type),2023 August 02 1:00 PM,2023 August 28 12:00 PM,20 days,122
1.8.4.2.4,Bridge No.116/5-Reconstruction (Abutment Type),2023 August 28 1:00 PM,2023 September 05 5:00 PM,7 days,123
1.8.4.2.5,Bridge No.116/5-Reconstruction (Abutment Type),2023 September 06 8:00 AM,2023 September 25 12:00 PM,15 days,124
1.8.4.2.6,Bridge No.116/5-Reconstruction (Abutment Type),2023 September 25 1:00 PM,2023 October 20 5:00 PM,20 days,125
1.8.4.2.7,Bridge No.116/5-Reconstruction (Abutment Type),2023 October 21 8:00 AM,2023 November 29 12:00 PM,30 days,126
1.8.4.2.8,Bridge No.116/5-Reconstruction (Abutment Type),2023 November 29 1:00 PM,2023 December 12 12:00 PM,10 days,127
